record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
3858 3858 29.96 0:00:02:08.466/600 0:00:02:08.446/600 417.57 294.58 158.87 121.03 -1000.00 -1000.00 33.00 24.00 
3859 3859 29.96 0:00:02:08.486/600 0:00:02:08.466/600 391.27 293.21 166.37 120.57 -1000.00 -1000.00 38.00 37.00 
3860 3860 29.96 0:00:02:08.506/600 0:00:02:08.486/600 364.91 292.63 173.85 120.30 -1000.00 -1000.00 38.00 39.00 
3861 3861 29.96 0:00:02:08.526/600 0:00:02:08.506/600 338.41 291.60 181.29 119.93 -1000.00 -1000.00 38.00 39.00 
3862 3862 29.96 0:00:02:08.546/600 0:00:02:08.526/600 323.95 292.35 185.36 120.05 -1000.00 -1000.00 38.00 38.00 
3863 3863 29.96 0:00:02:08.566/600 0:00:02:08.546/600 322.74 290.32 185.63 119.55 -1000.00 -1000.00 37.00 36.00 
3864 3864 29.96 0:00:02:08.586/600 0:00:02:08.566/600 319.69 283.36 186.26 117.84 -1000.00 -1000.00 38.00 38.00 
3865 3865 29.96 0:00:02:09.06/600 0:00:02:08.586/600 316.67 276.09 186.87 116.05 -1000.00 -1000.00 38.00 38.00 
3866 3866 29.96 0:00:02:09.26/600 0:00:02:09.06/600 314.02 268.72 187.37 114.25 -1000.00 -1000.00 37.00 37.00 
3867 3867 29.96 0:00:02:09.46/600 0:00:02:09.26/600 312.62 264.28 187.62 113.17 -1000.00 -1000.00 37.00 37.00 
3868 3868 29.96 0:00:02:09.66/600 0:00:02:09.46/600 313.05 264.47 187.50 113.22 -1000.00 -1000.00 37.00 37.00 
3869 3869 29.96 0:00:02:09.87/600 0:00:02:09.66/600 297.77 272.79 192.00 115.18 -1000.00 -1000.00 30.00 37.00 
3870 3870 29.96 0:00:02:09.107/600 0:00:02:09.87/600 264.16 288.68 201.79 118.90 -1000.00 -1000.00 30.00 39.00 
3871 3871 29.96 0:00:02:09.127/600 0:00:02:09.107/600 220.86 315.46 214.54 125.19 -1000.00 -1000.00 32.00 40.00 
3872 3872 29.96 0:00:02:09.147/600 0:00:02:09.127/600 174.82 344.04 228.03 131.87 -1000.00 -1000.00 32.00 39.00 
3873 3873 29.96 0:00:02:09.167/600 0:00:02:09.147/600 144.85 364.67 236.85 136.68 -1000.00 -1000.00 32.00 39.00 
3874 3874 29.96 0:00:02:09.187/600 0:00:02:09.167/600 133.76 377.35 240.31 139.69 -1000.00 -1000.00 32.00 39.00 
3875 3875 29.96 0:00:02:09.207/600 0:00:02:09.187/600 132.34 378.97 240.76 140.08 -1000.00 -1000.00 32.00 39.00 
3876 3876 29.96 0:00:02:09.227/600 0:00:02:09.207/600 133.48 378.35 240.43 139.94 -1000.00 -1000.00 33.00 39.00 
3877 3877 29.96 0:00:02:09.247/600 0:00:02:09.227/600 134.55 377.81 240.12 139.81 -1000.00 -1000.00 32.00 40.00 
3878 3878 29.96 0:00:02:09.267/600 0:00:02:09.247/600 135.36 377.18 239.88 139.66 -1000.00 -1000.00 32.00 40.00 
3879 3879 29.96 0:00:02:09.287/600 0:00:02:09.267/600 135.98 376.81 239.70 139.58 -1000.00 -1000.00 32.00 40.00 
3880 3880 29.96 0:00:02:09.307/600 0:00:02:09.287/600 136.48 376.41 239.55 139.48 -1000.00 -1000.00 33.00 39.00 
3881 3881 29.96 0:00:02:09.327/600 0:00:02:09.307/600 136.81 376.08 239.45 139.41 -1000.00 -1000.00 33.00 40.00 
3882 3882 29.96 0:00:02:09.347/600 0:00:02:09.327/600 140.69 385.55 238.79 141.75 -1000.00 -1000.00 32.00 35.00 
3883 3883 29.96 0:00:02:09.367/600 0:00:02:09.347/600 147.52 405.45 237.75 146.69 -1000.00 -1000.00 33.00 29.00 
3884 3884 29.96 0:00:02:09.387/600 0:00:02:09.367/600 154.35 425.19 236.69 151.63 -1000.00 -1000.00 33.00 31.00 
3885 3885 29.96 0:00:02:09.407/600 0:00:02:09.387/600 161.15 444.86 235.63 156.60 -1000.00 -1000.00 33.00 31.00 
3886 3886 29.96 0:00:02:09.427/600 0:00:02:09.407/600 164.53 455.19 235.12 159.22 -1000.00 -1000.00 34.00 31.00 
3887 3887 29.96 0:00:02:09.447/600 0:00:02:09.427/600 164.84 456.44 235.09 159.54 -1000.00 -1000.00 33.00 29.00 
3888 3888 29.96 0:00:02:09.467/600 0:00:02:09.447/600 165.09 460.97 235.20 160.68 -1000.00 -1000.00 33.00 24.00 
3889 3889 29.96 0:00:02:09.487/600 0:00:02:09.467/600 165.52 465.63 235.27 161.86 -1000.00 -1000.00 33.00 24.00 
3890 3890 29.96 0:00:02:09.507/600 0:00:02:09.487/600 165.86 470.01 235.35 162.97 -1000.00 -1000.00 33.00 24.00 
3891 3891 29.96 0:00:02:09.527/600 0:00:02:09.507/600 166.43 473.03 235.32 163.73 -1000.00 -1000.00 34.00 23.00 
3892 3892 29.96 0:00:02:09.547/600 0:00:02:09.527/600 167.45 472.26 235.01 163.55 -1000.00 -1000.00 34.00 26.00 
3893 3893 29.96 0:00:02:09.567/600 0:00:02:09.547/600 168.83 470.86 234.58 163.21 -1000.00 -1000.00 34.00 24.00 
3894 3894 29.96 0:00:02:09.587/600 0:00:02:09.567/600 171.12 468.24 233.85 162.58 -1000.00 -1000.00 34.00 28.00 
3895 3895 29.96 0:00:02:10.07/600 0:00:02:09.587/600 173.41 465.54 233.12 161.92 -1000.00 -1000.00 34.00 30.00 
3896 3896 29.96 0:00:02:10.27/600 0:00:02:10.07/600 176.05 462.71 232.28 161.24 -1000.00 -1000.00 34.00 31.00 
3897 3897 29.96 0:00:02:10.47/600 0:00:02:10.27/600 179.86 457.99 231.06 160.09 -1000.00 -1000.00 35.00 32.00 
3898 3898 29.96 0:00:02:10.67/600 0:00:02:10.47/600 184.31 452.39 229.62 158.73 -1000.00 -1000.00 35.00 32.00 
3899 3899 29.96 0:00:02:10.87/600 0:00:02:10.67/600 190.13 445.32 227.76 157.01 -1000.00 -1000.00 36.00 32.00 
3900 3900 29.96 0:00:02:10.107/600 0:00:02:10.87/600 196.19 436.78 225.77 154.93 -1000.00 -1000.00 37.00 38.00 
3901 3901 29.96 0:00:02:10.127/600 0:00:02:10.107/600 201.45 430.12 224.08 153.31 -1000.00 -1000.00 37.00 35.00 
3902 3902 29.96 0:00:02:10.147/600 0:00:02:10.127/600 206.16 424.83 222.59 152.03 -1000.00 -1000.00 37.00 33.00 
3903 3903 29.96 0:00:02:10.167/600 0:00:02:10.147/600 210.18 419.76 221.29 150.80 -1000.00 -1000.00 37.00 35.00 
3904 3904 29.96 0:00:02:10.187/600 0:00:02:10.167/600 214.16 415.96 220.06 149.89 -1000.00 -1000.00 37.00 35.00 
3905 3905 29.96 0:00:02:10.207/600 0:00:02:10.187/600 218.23 410.37 218.73 148.53 -1000.00 -1000.00 37.00 34.00 
3906 3906 29.96 0:00:02:10.228/600 0:00:02:10.207/600 222.26 403.59 217.38 146.87 -1000.00 -1000.00 37.00 38.00 
3907 3907 29.96 0:00:02:10.248/600 0:00:02:10.228/600 226.61 396.64 215.92 145.18 -1000.00 -1000.00 34.00 37.00 
3908 3908 29.96 0:00:02:10.268/600 0:00:02:10.248/600 230.83 389.43 214.50 143.42 -1000.00 -1000.00 35.00 38.00 
